date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:20	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2027%20Jul%202021%2018:26:21%20GMT	https://www.medcorder.com/robots.txt		(from )
23:56:20	27086/27086	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2018:26:21%20GMT	https://www.medcorder.com/	E:/HTTP/samriddhmainekdum/www.medcorder.com/index.html	(from )
23:56:22	174825/174825	---M-Z	200	added ('OK')	text/css	etag:%22020ee188bf47df7a033cc7bd022a6c2a%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/css/medcorder.485f494ac.css	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/css/medcorder.485f494ac.css	(from https://www.medcorder.com/)
23:56:22	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/HTTP/samriddhmainekdum/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.medcorder.com/)
23:56:22	2228/2228	---M--	200	added ('OK')	image/png	etag:%2245ae308e292874587535b26555139ffe%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5e1cf66bc30fd315839695ca_orangeMedcorder32.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5e1cf66bc30fd315839695ca_orangeMedcorder32.png	(from https://www.medcorder.com/)
23:56:23	12944/12944	---M--	200	added ('OK')	image/png	etag:%226c851445c2c2e441fa7dc84a896102ed%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5e1cf63b377013bf596b411a_orangeMedcorder256b.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5e1cf63b377013bf596b411a_orangeMedcorder256b.png	(from https://www.medcorder.com/)
23:56:24	2997/2997	---M-Z	200	added ('OK')	image/png	date:Fri,%2002%20Apr%202021%2012:25:34%20GMT	https://static.medcorder.com/apple-touch-icon.png	E:/HTTP/samriddhmainekdum/static.medcorder.com/apple-touch-icon.png	(from https://www.medcorder.com/)
23:56:25	708/708	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Apr%202021%2012:25:34%20GMT	https://static.medcorder.com/favicon-32x32.png	E:/HTTP/samriddhmainekdum/static.medcorder.com/favicon-32x32.png	(from https://www.medcorder.com/)
23:56:25	438/438	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Apr%202021%2012:25:34%20GMT	https://static.medcorder.com/favicon-16x16.png	E:/HTTP/samriddhmainekdum/static.medcorder.com/favicon-16x16.png	(from https://www.medcorder.com/)
23:56:26	19565/19565	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2018:26:26%20GMT	https://www.medcorder.com/blog/your-next-doctors-visit-is-remote-now-what	E:/HTTP/samriddhmainekdum/www.medcorder.com/blog/your-next-doctors-visit-is-remote-now-what.html	(from https://www.medcorder.com/)
23:56:26	22354/22354	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2018:26:27%20GMT	https://www.medcorder.com/providers	E:/HTTP/samriddhmainekdum/www.medcorder.com/providers.html	(from https://www.medcorder.com/)
23:56:27	27497/27497	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2018:26:27%20GMT	https://www.medcorder.com/faqs	E:/HTTP/samriddhmainekdum/www.medcorder.com/faqs.html	(from https://www.medcorder.com/)
23:56:27	19510/19510	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2018:26:28%20GMT	https://www.medcorder.com/about	E:/HTTP/samriddhmainekdum/www.medcorder.com/about.html	(from https://www.medcorder.com/)
23:56:28	40769/40769	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2018:26:28%20GMT	https://www.medcorder.com/blog	E:/HTTP/samriddhmainekdum/www.medcorder.com/blog.html	(from https://www.medcorder.com/)
23:56:29	408485/408485	---M--	200	added ('OK')	image/png	etag:%2235983e9664e4c4c55f7547299a7e2f69%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5e696364d90bb267c1d6c209_home_1%402x.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5e696364d90bb267c1d6c209_home_1@2x.png	(from https://www.medcorder.com/)
23:56:29	29604/29604	---M--	200	added ('OK')	image/png	etag:%223c8514170fdc0c22beef0aba23dfb509%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5d281d30180ea91c0c9c74d0_kimkomando-logo.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5d281d30180ea91c0c9c74d0_kimkomando-logo.png	(from https://www.medcorder.com/)
23:56:29	69877/69877	---M--	200	added ('OK')	image/png	etag:%22f02fee96a8f11c5d4931aa7bf304ef6f%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb35274390f554d87371349_reviewGeek.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb35274390f554d87371349_reviewGeek.png	(from https://www.medcorder.com/)
23:56:30	31736/31736	---M--	200	added ('OK')	image/png	etag:%22afc113888c4ebf5048daed080c07a0ea%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb35320fa63c891e6a153ad_knowTechie.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb35320fa63c891e6a153ad_knowTechie.png	(from https://www.medcorder.com/)
23:56:30	1379/1379	---M--	200	added ('OK')	image/png	etag:%2253b990ad8cc4188821a18650705db355%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb34e14f4b01d50905426b0_arrow_purple_left%403x.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb34e14f4b01d50905426b0_arrow_purple_left@3x.png	(from https://www.medcorder.com/)
23:56:31	1397/1397	---M--	200	added ('OK')	image/png	etag:%22f77e8f15adc0147e257d587756d43c7d%22	https://assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb34cd36a6e84c81dec3227_arrow_purple%403x.png	E:/HTTP/samriddhmainekdum/assets.website-files.com/5ce2ef9ce57aeb64f4784513/5eb34cd36a6e84c81dec3227_arrow_purple@3x.png	(from https://www.medcorder.com/)
